username,firstName,lastName,email,password,enabled,roles,description
nscsAdm1,nscsAdm1_firstname,nscsAdm1_lastname,nscsAdm1@test.it,nscsAdm1_1,true,"NodeSecurity_Administrator,Cmedit_Administrator,FM_Administrator,LogViewer_Privacy_Administrator,LogViewer_PrivacyAudit_Administrator,Configuration_Parameter_Application_Administrator",
nscsAdm2,nscsAdm2_firstname,nscsAdm2_lastname,nscsAdm2@test.it,nscsAdm2_2,true,"Cmedit_Administrator,Ldap_role",
nscsOper1,nscsOper1_firstname,nscsOper1_lastname,nscsOper1@test.it,nscsOper1_1,true,"NodeSecurity_Operator",
secAdmin2,secAdmin2_firstname,secAdmin2_lastname,secAdmin2@test.it,secAdmin2_1,true,"SECURITY_ADMIN,Cmedit_Administrator",
fieldTech3,fieldTech3_firstname,fieldTech3_lastname,fieldTech3@test.it,fieldTech3_1,true,"FIELD_TECHNICIAN",
operator4,Operator4_firstname,Operator4_lastname,Operator4@test.it,Operator4_1,true,"OPERATOR",
credRole5,credRole5_firstname,credRole5_lastname,credRole5@test.it,credRole5_1,true,"credential_role",
getCredRole9,getCredRole9_firstname,getCredRole9_lastname,getCredRole9@test.it,getCredRole9_1,true,"get_credentials_role",
oamRole6,oamRole6_firstname,oamRole6_lastname,oamRole6@test.it,oamRole6_1,true,"oam_role,Configuration_Parameter_Application_Administrator",
ipsecRole7,ipsecRole7_firstname,ipsecRole7_lastname,ipsecRole7@test.it,ipsecRole7_1,true,"ipsec_role,Cmedit_Administrator",
sshkeyRole8,sshkeyRole8_firstname,sshkeyRole8_lastname,sshkeyRole8@test.it,sshkeyRole8_1,true,"sshkey_role",
trustOperator1,trustOperator1_firstname,trustOperator1_lastname,trustOperator1@test.it,trustOperator1_1,true,"trust_role_Operator",
credSnmpRole10,credSnmpRole10_firstname,credSnmpRole10_lastname,credSnmpRole10@test.it,credSnmpRole10_1,true,"get_credentials_snmp_role",
httpsRole7,httpsRole7_firstname,httpsRole7_lastname,httpsRole7@test.it,httpsRole7_1,true,"https_role",
ftpesRole12,ftpesRole12_fitstname,ftpesRole12_lastname,ftpesRole12@test.it,ftpesRole12_1,true,"ftpes_role",
CPP_User1,CPP_User1_Name,CPP_User1_Surname,cppuser1@enm.com,cppUser1_1,true,"SecurityManagement,ADMINISTRATOR","LocalRbacUser"
CPP_User2,CPP_User2_Name,CPP_User2_Surname,cppuser2@enm.com,cppUser2_1,true,"CM-Normal,ADMINISTRATOR","LocalRbacUser"
credSnmpNbiRole11,credSnmpNbi_Name,credSnmpNbi_Surname,,credSnmpNbi1_1,true,update_credentials_snmp_nbi_role,
